,earned,headline,hours,jobs,rate,skills
316,$20k+,"Proofreading, Editing, and Formatting Professional","1,129",19,$27.00,"['English Proofreading', 'Editing', 'Microsoft Word', 'Microsoft Excel', 'Microsoft PowerPoint']"
317,$4k+,Account Manager,364,4,$20.00,"['Customer Service', 'Customer Support', 'Communications', 'Call Handling', 'Phone Support', 'Negotiation', 'Outbound Sales', 'Email Handling', 'Email Technical Support', 'Pipedrive']"
318,$10k+,Executive VA and Customer Service at your Service,944,28,$20.00,"['Microsoft Word', 'Microsoft Excel', 'Microsoft PowerPoint', 'Virtual Assistant', 'Internet Research', 'Data Entry', 'Calendar Management', 'Business Writing', 'CRM', 'Customer Service']"
319,$30k+,"Writer and editor for business, education, edutech, and literature",572,116,$65.00,"['Writing', 'Editing', 'Copywriting', 'Copyediting', 'Proofreading', 'Non-Fiction Writing', 'Academic Writing', ""Children's Writing"", 'Blog Writing', 'Email Marketing']"
320,$20k+,Business Mentor / Coach,274,41,$99.00,"['Marketing Strategy', 'Business Coaching', 'Copywriting', 'Book Writing']"
321,$10k+,Phone Whisperer/Customer Service Extraordinaire..,957,5,$18.75,"['Customer Retention', 'Customer Support', 'Phone Support', 'Email Handling', 'Receptionist Skills', 'Customer Service', 'Writing', 'Voice Talent', 'General Office Skills', 'Administrative Support']"
322,$60k+,"Docs Specialist | Content, Copy, and Technical Writing for the Web",668,16,$100.00,"['Technical Writing', 'JavaScript', 'HTML', 'CSS', 'VB.NET', 'Transact-SQL', 'C#', 'Ruby', 'Article Writing', 'Blog Writing']"
323,$20k+,Cloud Bookkeeper & QuickBooks Pro Expert,667,11,$40.00,"['Intuit QuickBooks', 'Bookkeeping', 'Microsoft Office', 'Email Handling', 'Bank Reconciliation', 'Microsoft Excel', 'Accounts Payable Management', 'Accounts Receivable Management', 'Account Management', 'Accounting']"
324,$50k+,"Men's Apparel, Accessories & Graphic Design",796,43,$80.00,"['Adobe Illustrator', 'Adobe Photoshop']"
325,$10k+,Graphic Designer | Front-end Web Developer,496,48,$25.00,"['Adobe InDesign', 'Adobe Illustrator', 'Adobe Photoshop', 'Canva', 'Graphic Design', 'CSS', 'HTML', 'Bootstrap', 'Frontend Development', 'WordPress']"
326,$30k+,Software Developer,429,28,$80.00,"['JavaScript', 'Node.js', 'HTML5', 'CSS3', 'MongoDB']"
327,,"Inbound Marketing | Content Writer & Strategist | Website, Blog, Email",,,,"['Marketing Automation', 'HubSpot', 'Content Marketing', 'Social Media Marketing', 'Writing', 'Content Writing', 'SEO Writing', 'Marketing Strategy', 'Email Marketing', 'Search Engine Marketing (SEM)']"
328,$10k+,Developer(Javascript/ReactJS),619,24,$25.00,"['React.js', 'JavaScript', 'Ruby', 'Ruby on Rails', 'Amazon Cognito', 'Wordpress Theme', 'API Development', 'CSS3', 'HTML5']"
329,$40k+,English to French Translator - Native French,978,189,$22.00,"['Translation English French', 'Technical Translation', 'Translation', 'Proofreading', 'English Spelling']"
330,$10k+,VoiceOver Talent and Video Developer with Adobe Captivate Experience,249,30,$65.00,"['Voice Talent', 'Adobe Captivate', 'Instructional Design', 'Camtasia', 'Keynote', 'Microsoft PowerPoint', 'Blog Writing', 'Audio Editing', 'e-Learning']"
331,$40k+,Certified Public Accountant,"2,268",6,$40.00,
332,$40k+,Customer Service Champ/ Chat/Email/Zendesk/Shopify/Groove/Intercom,"4,186",11,$20.00,"['Translation Filipino English', 'Microsoft Excel', 'Customer Support', 'Administrative Support', 'Dental Technology', 'Retail Merchandising', 'Zendesk', 'Intercom', 'Shopify', 'Help Scout']"
333,$20k+,"Content Creator: Webpages, articles, blogs, technical docs.","1,241",74,$13.25,"['Search Engine Optimization (SEO)', 'Content Writing', 'Article Writing', 'Technical Writing', 'Creative Writing', 'Internet Research', 'Proofreading', 'Copyediting', 'SEO Writing', 'Software Testing']"
334,$200k+,Senior System Architect,"4,006",20,$90.00,"['ASP.NET MVC', 'AngularJS', 'HTML5', 'JavaScript', 'C#', 'SQL', 'API Development', 'Microsoft Windows Azure', 'Twilio API', 'Stripe']"
335,$70k+,SEO Pro || AdWords Certified || Content Strategy || English & German,"3,513",35,$59.00,"['Search Engine Optimization (SEO)', 'WordPress', 'PHP', 'CSS', 'HTML', 'Translation English German', 'Software QA Testing', 'Google AdWords', 'Copywriting', 'Digital Marketing']"
336,$20k+,MemberGate Virtual Assistant,430,13,$60.00,"['Web Design', 'Virtual Assistant']"
337,$50k+,IT Project Manager,693,32,$80.00,"['Project Management', 'Project Management Professional', 'Lean Consulting', 'Project Planning', 'Microsoft Project', 'Agile Software Development', 'Microsoft Excel', 'Visual Basic', 'Product Management', 'Project Scheduling']"
338,$90k+,Motivated Data Specialist,"2,851",18,$22.50,"['Article Writing', 'Content Writing', 'Proofreading', 'Data Entry', 'Internet Research']"
339,$20k+,Japanese | Translation | Localization | Marketing,439,99,$35.00,"['Translation', 'Japanese', 'Translation English Japanese', 'Translation Japanese English', 'Market Research', 'Marketing Strategy', 'Proofreading']"
340,$50k+,"Zendesk Customer Support Specialist, Finnish/English translation","3,829",20,$15.00,"['Data Entry', 'Word Processing', 'Spreadsheets', 'Office Administration', 'Administrative Support', 'Purchasing Management', 'Customer Support', 'Customer Service', 'Finnish']"
341,$20k+,Human Resources Leader,807,7,$37.50,"['Human Resource Management', 'Recruiting', 'HR Benefits']"
342,$50k+,Freelance writer and author,208,161,$16.67,['Ghostwriting']
343,$10k+,"Writer, Actress, Amateur Photographer",622,45,$15.00,"['Creative Writing', 'Blog Writing', 'Photography', 'Journalism Writing', 'Content Writing', 'Internet Research', 'Travel Writing', 'Travel Planning']"
344,$100k+,"Ruby ist /w rails exper. - mentoring, refactoring, architecting","3,859",132,$99.99,"['Ruby on Rails', 'JavaScript', 'Web Programming', 'Golang', 'Node.js', 'Ruby', 'Objective-C', 'Java', 'React.js', 'Elixir']"
345,$20k+,"Engaging, Effective Design | Print, Digital, Product & Packaging",623,24,$50.00,"['Corporate Brand Identity', 'Print Design', 'User Experience Design', 'Adobe Creative Suite', 'Web Design', 'Adobe InDesign', 'Adobe Photoshop', 'Social Media Management', 'Graphic Design', 'Digital Marketing']"
346,$100k+,"Strategic Communiations in Science, Medicine, & Technology",946,193,$150.00,"['Medical Writing', 'Biotechnology', 'White Paper Writing', 'Research Papers', 'Marketing Strategy', 'Marketing Communications', 'Marketing Management', 'Human Sciences', 'Medical Devices']"
347,$20k+,Cartoon and Comic Illustrator,416,64,$35.00,"['Cartooning', 'Character Design', 'Illustration', 'Comic Art']"
348,$80k+,Expert Wordpress Developer with SEO experience,"1,926",19,$50.00,"['JavaScript', 'jQuery', 'WordPress', 'PSD to HTML', 'HTML', 'HTML5', 'Adobe Photoshop', 'PSD to MailChimp', 'PHP', 'CSS3']"
349,,,,,,"['PHP', 'ActionScript 3', 'Adobe AIR', 'Mobile App Development', 'HTML5', 'CSS3', 'React.js', 'React Native', 'WordPress']"
350,$4k+,Real Estate Virtual Assistant,424,10,$15.00,"['Virtual Assistant', 'Data Entry', 'Podio', 'Google Docs', 'Microsoft Excel', 'Internet Research']"
351,$8k+,Founder and CEO,243,6,$50.00,"['CRM', 'PHP', 'MySQL Administration', 'Autodesk Autocad Civil3D', 'Translation English Portuguese', 'Translation Portuguese English', 'Electrical Engineering']"
352,,Graphic Illustrations,,,,"['Caricature Drawing', 'Adobe Illustrator', 'Logo Design', 'Character Design', 'Concept Artistry', 'Voice Talent', '3D Modeling']"
353,$100k+,"QA Software Engineer comfortable in remote, Agile & Scrum environments","8,134",14,$50.00,"['QA Engineering', 'Selenium WebDriver', 'Python', 'Java', 'Software QA Testing', 'Regression Testing', 'Performance Testing', 'Test Automation', 'Web Testing', 'Appium']"
354,$5k+,Web and Data Operations Specialist,512,5,$10.00,"['Typography', 'Data Entry', 'Writing', 'Copyediting', 'Article Writing', 'Microsoft Office', 'Web Research', 'Google Docs', 'Email Handling', 'Internet Surveys']"
355,$30k+,Community Manager,"1,655",1,$22.22,
356,$5k+,Telesales Professional,242,9,$25.00,"['Telemarketing', 'Appointment Setting', 'Outbound Sales', 'Lead Generation', 'Sales', 'Telephone Handling', 'Customer Service', 'Editing', 'Writing', 'HubSpot']"
357,$40k+,Digital Advertising (Paid Search and Paid Social) Professional,202,68,$100.00,"['Google AdWords', 'Data Analytics', 'Website Analytics', 'Bing Ads', 'Facebook Marketing', 'Instagram Marketing', 'Conversion Rate Optimization', 'YouTube Marketing', 'Search Engine Marketing (SEM)']"
358,$40k+,Web Designer,"1,135",38,$50.00,"['Graphic Design', 'Website Development', 'Web Design', 'Adobe Photoshop', 'WordPress', 'Responsive Web Design', 'CSS3', 'HTML5', 'JavaScript', 'Frontend Development']"
359,$10k+,Administrative Professional,"1,165",5,$37.00,"['Customer Service', 'Customer Support', 'Internet Research', 'Microsoft Excel', 'Microsoft Word', 'Phone Support', 'Data Entry', 'Microsoft Access Administration', 'Accounts Receivable Management', 'Accounts Payable Management']"
360,$20k+,Marketing and Public Relations Writer,886,29,$15.00,"['Content Writing', 'Adobe Illustrator', 'Microsoft Excel', 'Android', 'WordPress', 'Ecommerce Platform Development', 'Adobe Photoshop', 'Adobe InDesign', 'Copyediting', 'English Punctuation']"
361,$20k+,Content Creator & Social Media Strategist,876,47,$50.00,"['Blog Writing', 'Article Writing', 'Social Media Management', 'Executive Assistant', 'Content Creation', 'Social Media Marketing', 'Marketing Strategy', 'Digital Marketing']"
362,$30k+,Full Stack Developer & WordPress Expert,855,49,$65.00,"['PHP', 'JavaScript', 'CSS', 'HTML', 'Website Development', 'WordPress', 'jQuery', 'Google Maps API', 'Web Design']"
363,$30k+,Nurse offers well-researched medical articles,218,96,$75.00,"['Online Writing', 'Business Writing', 'Creative Writing', 'English', 'English Punctuation', 'Content Writing']"
364,$30k+,Digital Marketing & Social Media Expert for Hire,896,26,$60.00,"['Google Analytics', 'Google AdWords', 'Social Media Marketing', 'Internet Marketing', 'Ecommerce Platform Development', 'Facebook Marketing', 'Bing Ads', 'Display Ads', 'Marketing Strategy', 'B2B Marketing']"
365,$30k+,Proofreader/Copyeditor/Writer with Eye for the Details,"1,292",74,$20.00,"['Copyediting', 'Editing', 'English', 'English Grammar', 'English Proofreading', 'English Spelling', 'Microsoft Word', 'eBooks', 'Adobe Acrobat', 'Blog Writing']"
366,$7k+,Web editor and digital journalist,348,9,$25.00,"['Article Writing', 'Journalism Writing', 'Copyediting', 'Editing', 'English Grammar', 'English Spelling', 'Website Analytics', 'Proofreading', 'Online Writing', 'AP Style Writing']"
367,$200k+,Graphic Design,"2,832",164,$62.50,"['Graphic Design', 'Advertising', 'eBook Design', 'Illustration', 'Direct Marketing', 'Corporate Brand Identity', 'Adobe Illustrator', 'Information Design', 'Brochure Design', 'Marketing Communications']"
368,$40k+,Brand Development | UX & UI | Design Strategy,302,68,$200.00,"['Infographics', 'Graphic Design', 'Brand Consulting', 'Motion Graphics', 'Corporate Brand Identity', 'Adobe Illustrator', 'Brand Management', 'User Interface Design', 'iPhone UI Design', 'Logo Design']"
369,$50k+,Professional UI/UX Design and Development,527,43,$60.00,"['User Experience Design', 'CSS', 'jQuery', 'HTML5', 'ASP.NET', 'Translation English Russian', 'Adobe Photoshop', 'WordPress', 'Analytics', 'Shopify']"
370,$10k+,Data Science Applications for Business Intelligence,495,31,$25.00,"['Python', 'Data Analytics', 'Data Scraping', 'Unix', 'Mathematics', 'C++', 'Data Science', 'Scripts & Utilities', 'DevOps', 'Pandas']"
371,$10k+,WordPress Website Developer,331,51,$25.00,"['Web Design', 'Web Services', 'WordPress', 'HTML', 'PLC Programming', 'Website Development', 'WordPress e-Commerce', 'Wordpress Plugin', 'Wordpress Theme', 'Payment Gateway Integration']"
372,$50k+,"Digital, Print and Branding Design",853,169,$58.00,"['Graphic Design', 'Web Design', 'Print Design', 'Advertising', 'User Interface Design', 'Print Advertising', 'Landing Pages', 'Magazine Layout', 'Print Layout Design', 'Logo Design']"
373,$10k+,MBA with entertainment and production experience,432,2,$30.00,"['Office Administration', 'Accounting', 'Project Management', 'Cost Accounting']"
374,$50k+,Architect | Graphic Designer,"1,414",17,$45.00,"['Rhinoceros 3D', 'Autodesk Revit Architecture', 'SketchUp', 'Adobe Illustrator', 'Adobe Photoshop', 'AutoCAD', 'Logo Design', 'Graphic Design', 'Information Design', 'Construction']"
375,$10k+,Social Media Marketing Guru: I help you grow your biz online,509,15,$30.00,"['Social Media Marketing', 'Facebook Marketing', 'Twitter Marketing', 'Instagram Marketing', 'Pinterest Marketing']"
376,$9k+,Experienced & dedicated Virtual Assistant,217,4,$20.00,"['Internet Research', 'Microsoft Excel', 'Data Entry', 'Clerical Skills', 'Google Apps', 'Microsoft Office']"
377,$20k+,Perfectionist English Editor [INVITATION ONLY],"2,749",21,$70.00,"['Proofreading', 'English Grammar', 'English Punctuation', 'English Proofreading', 'Copyediting', 'Editing']"
378,$10k+,Experienced Customer Service and Sales Representative,"2,565",6,$19.00,"['Customer Service', 'Sales', 'Facebook Marketing', 'Telephone Handling', 'Email Marketing', 'Customer Support', 'Telemarketing', 'Receptionist Skills']"
379,$50k+,Business Development Professional,"3,104",17,$30.00,"['Telemarketing', 'Sales', 'Phone Support', 'Customer Support', 'Appointment Setting', 'Business Development', 'Lead Generation', 'Website Development', 'Email Handling', 'Call Handling']"
380,,"Expert developer, copywriter, designer, InfusionSoft , Leadpages",,,,"['Adobe Photoshop', 'WordPress', 'HTML', 'InfusionSoft Marketing', 'Adobe InDesign', 'CSS', 'PHP', 'Lead Generation', 'Inbound Marketing', 'Facebook Marketing']"
381,,Instructional Designer,,,,"['Instructional Design', 'Education Technology', 'e-Learning', 'Curriculum Development', 'Editing', 'Social Media Management', 'Website Development', 'Microsoft Office', 'Video Editing', 'Videography']"
382,$10k+,Expert Real Estate Analyst and Professional Writer,439,57,$45.00,"['Real Estate Management', 'Business Coaching', 'Business Management', 'Project Management', 'Creative Writing', 'Blog Writing', 'Sales', 'English', 'Writing', 'English Grammar']"
383,$10k+,Creative Graphic Artist & Web Designer | Marketing Specialist,377,53,$40.00,"['Graphic Design', 'Web Design', 'Logo Design', 'Corporate Brand Identity', 'Print Design', 'Style Guide Development', 'Adobe Creative Suite', 'Marketing Strategy', 'Microsoft Office']"
384,$10k+,Expert Virtual Assistant & Data Entry Specialist,"1,679",7,$30.00,"['Virtual Assistant', 'Customer Service', 'Email Handling', 'Data Entry', 'Central Reservation Systems', 'Typing', 'eBay Listing/Writing', 'Google Apps', 'Editing']"
385,$10k+,Preschool & Elementary Instructional Designer Curriculum Specialist,508,4,$60.00,"['Curriculum Development', 'Content Creation', 'Education Technology', 'e-Learning', 'Instructional Design']"
386,$9k+,"Professional Writer, Editor and Educator",234,107,$17.50,"['Copyediting', 'Proofreading', 'English Proofreading', 'Distance Education', 'Teaching English', 'ESL Teaching', 'Creative Writing', 'Lesson Plan Writing', 'Writing', 'Transcription']"
387,$100k+,"Algorithm Scientist - Machine Learning, Computer Vision, Deep Learning","2,009",29,$98.00,"['Algorithm Development', 'Genetic Algorithms', 'Data Science', 'Machine Learning', 'Artificial Neural Networks', 'Computer Vision', 'Python SciPy', 'TensorFlow', 'Deep Learning', 'Data Analytics']"
388,,Expert Full-stack Web & Mobile developer + Blockchain smart contracts,,,,"['Blockchain', 'Ethereum', 'Node.js', 'JavaScript', 'Meteor', 'Website Development', 'SQL', 'Linux System Administration', 'Android', 'Vue.js']"
389,$10k+,Japanese-English Translator,513,56,$25.00,['Translation English Japanese']
390,$10k+,Data Scientist,205,18,$100.00,"['R', 'Excel VBA', 'Microsoft Excel', 'Python', 'Data Science']"
391,$20k+,Project Manager & Content Writer,358,92,$45.00,"['Interviewing', 'Research', 'Customer Service', 'Program Management', 'Data Mining', 'Data Entry', 'Writing', 'Blog Writing', 'Article Writing', 'Editing']"
392,$7k+,Looking for a position as an Administrative Assistant,929,6,$12.00,"['Microsoft Office', 'Microsoft Excel', 'Communications', 'Customer Service', 'Administrative Support', 'Transaction Processing', 'Real Estate Management']"
393,$50k+,"Desktop Software, Web Applications Developer, and Project Manager","3,217",17,$25.00,"['Desktop Applications', 'Website Development', 'Project Management', 'VB.NET', 'C#', 'ASP.NET', 'Java', 'PHP', 'JavaScript', 'SQL']"
394,$70k+,"Former Googler, Senior Digital Marketing Pro",862,9,$99.00,"['Social Media Marketing', 'Social Media Management', 'Content Marketing', 'Content Strategy', 'Search Engine Optimization (SEO)', 'SEO Keyword Research', 'Digital Marketing', 'Marketing Strategy', 'Online Community Management', 'Email Marketing']"
395,$80k+,"Looking for a job in customer service, assistant, or voice over work","7,996",4,$10.50,"['Customer Service', 'Customer Support', 'Computer Skills', 'Phone Support', 'Email Handling', 'Email Technical Support', 'Microsoft Excel', 'Microsoft Word', 'Online Help', 'Email Etiquette']"
396,$50k+,"Exemplary Researcher, Contact-Sourcer and Email Marketer.","3,264",51,$29.00,"['Email Marketing', 'Database Management', 'Internet Research', 'Google Spreadsheets', 'Virtual Assistant', 'Negotiation', 'Data Entry', 'Research', 'Market Research', 'Social Media Marketing']"
397,$200k+,"SharePoint, Office 365, K2 Five and Nintex Workflow BPM Expert","2,877",123,$100.00,"['Microsoft Office 365', 'Microsoft SharePoint Administration', 'Microsoft SharePoint Development', 'Microsoft SharePoint Designer', 'Microsoft SQL Server Administration', 'Microsoft Windows Workflow Foundation', 'Intranet Implementation', 'Business Process Management (BPM)', 'Nintex', 'BPMN']"
398,$30k+,Wordpress Developer,"1,450",60,$22.00,"['WordPress', 'PHP', 'jQuery', 'CSS3', 'JavaScript', 'Twitter Bootstrap', 'Zurb Foundation', 'HTML5', 'AJAX', 'Adobe Photoshop']"
399,$200k+,Salesforce Administrator/Systems Admin,"3,813",65,$87.00,"['Salesforce.com', 'CRM', 'Database Administration', 'Database Management', 'Information Architecture', 'Analytics', 'Google Apps', 'DocuSign', 'HubSpot', 'MailChimp']"
400,$100k+,Technical Support and Advice,"7,603",2,$15.00,"['Computer Repair', 'Computer Assembly', 'SocialEngine', 'Social Bookmarking', 'Technical Support', 'Technical Analysis', 'Project Management']"
401,$40k+,Experienced Customer Service Rep/Hairstylist,,,$15.00,
402,$9k+,Logo Design | UI Design | Graphic Design,208,27,$65.00,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Adobe XD', 'Graphic Design', 'User Interface Design', 'Illustration', 'Logo Design', 'Website Prototyping', 'Website Wireframing']"
403,$30k+,Expert Content Writer,"1,546",39,$18.00,
404,$10k+,Web Content Writer,"1,382",13,$20.00,"['Blog Writing', 'Article Writing', 'Content Writing', 'Data Entry', 'Internet Research', 'SEO Writing', 'Writing']"
405,$9k+,Customer Support Specialist,558,5,$16.75,"['Data Entry', 'Email Handling', 'Customer Service', 'Administrative Support']"
406,,WordPress Websites - Expert BEFORE & AFTERS,,,,"['WordPress', 'Woocommerce', 'Website Development', 'Landing Pages', 'Wordpress Plugin', 'Graphic Design', 'HTML5', 'Joomla', 'Responsive Web Design', 'SEO Audit']"
407,$80k+,Senior Software Engineer (Full Stack),979,63,$90.00,"['JavaScript', 'Node.js', 'React.js', 'AWS Lambda', 'Amazon Web Services']"
408,$40k+,"AWS, Ansible, Cloud, and DevOps Expert",802,1,$125.00,"['DevOps', 'Ansible', 'Jenkins', 'Amazon Web Services', 'Amazon S3', 'Amazon EC2', 'Cluster Computing', 'Automation']"
409,,"3D Modeling, 3D Artist",,,,"['3D Modeling', '3D Rendering', 'Adobe Photoshop', 'Video Production', 'Logo Design', 'Adobe After Effects', 'Audio Mixing', 'Audio Production']"
410,$9k+,"CPA, MBA, Quickbooks ProAdvisor",,,$65.00,
411,$10k+,"Virtual Assistant, Translator and Social Media Manager","3,146",11,$15.00,"['Translation', 'Transcription', 'Social Media Management', 'Virtual Assistant', 'Email Handling', 'Administrative Support']"
412,$20k+,"Project Architect, Project Manager, Architectural Designer",430,13,$50.00,
413,$10k+,The excellence you need to succeed!,371,56,$31.25,"['English', 'English Proofreading', 'Transcription', 'Academic Writing', 'Writing', 'Fiction Writing', 'Non-Fiction Writing', 'Data Entry', 'Email Etiquette', 'Typing']"
414,,SEO & Link Building That Doesn't Bamboozle You,,,,"['Search Engine Optimization (SEO)', 'SEO Audit', 'Search Engine Marketing (SEM)', 'Link Building', 'Google Analytics', 'SEO Backlinking', 'SEO Keyword Research']"
415,$20k+,"Expert Software, Database & Report Developer",666,11,$60.00,"['C#', 'SQL Programming', 'ASP.NET', 'Data Modeling', 'Tableau Software', 'Microsoft SQL Server Programming', 'Microsoft SQL SSRS', 'SQL Server Integration Services (SSIS)', 'Database Programming', 'Report Writing']"
416,$20k+,,242,2,$75.00,"['Infusionsoft Development', 'Infusionsoft Administration', 'Sales', 'Project Management', 'Ecommerce Platform Development', 'CRM', 'Freelance Marketing', 'Internet Marketing']"
417,$40k+,Web Developer,,,$57.00,
418,$10k+,Digital & Social Media Marketing,530,1,$33.00,"['Social Media Marketing', 'Pinterest Marketing', 'Email Marketing', 'Facebook Marketing', 'Adobe Digital Marketing Suite', 'Direct Marketing', 'Twitter Marketing', 'Internet Marketing']"
419,$5k+,Translator and Editor,285,2,$15.00,"['Translation English Spanish', 'Translation Spanish English', 'Editing', 'Typing']"
420,$30k+,Salesforce.com Consultant / Administrator,770,26,$65.00,"['Salesforce.com', 'Analytics', 'Salesforce App Development', 'Visualforce', 'Database Administration', 'Microsoft Excel']"
421,$60k+,"Local SEO, Technical SEO & On Page SEO, Schema.org, JSON+LD","1,288",163,$55.00,"['Search Engine Optimization (SEO)', 'SEO Audit', 'Google Webmaster Central', 'WordPress', 'English', 'English Spelling', 'Internet Research']"
422,$100k+,"Project Management, Virtual Assistant, Accounting, Customer Service","6,051",153,$34.50,"['Project Management', 'Customer Service', 'Accounting', 'Virtual Assistant', 'WordPress', 'English Proofreading', 'Research', 'Fact Checking', 'Google Docs', 'Copyediting']"
423,$100k+,Data journalist.,"1,213",86,$100.00,"['Tableau Software', 'Data Analytics', 'Data Cleansing', 'Data Visualization', 'Business Intelligence']"
424,$100k+,false,"10,947",9,$16.67,"['MySQL Programming', 'PhpBB']"
425,$40k+,Front-end developer,843,9,$60.00,"['JavaScript', 'AngularJS', 'CSS3', 'HTML5', 'WordPress', 'jQuery', 'Ruby on Rails', 'Node.js']"
426,$70k+,Digital Marketing Consultant,910,7,$105.00,"['Email Marketing', 'Marketing Automation', 'HubSpot', 'Inbound Marketing', 'Marketing Strategy', 'Content Strategy', 'Digital Strategy', 'Lead Generation', 'Content Development', 'Copywriting']"
427,$500k+,Turning Plans into Profits,,,$130.00,
428,$20k+,"Document Formatting, PDF Conversions and Forms!","1,116",446,$12.00,"['Microsoft Word', 'Microsoft Excel', 'Adobe LiveCycle Designer', 'Adobe Acrobat', 'Computer Skills', 'Adobe PDF', 'Format & Layout', 'Microsoft PowerPoint', 'Templates', 'Microsoft Windows Server']"
429,$50k+,Marketing and Sales Agent,"3,085",20,$16.25,"['Microsoft Word', 'Microsoft Excel', 'Microsoft PowerPoint', 'VOIP Software', 'Intuit QuickBooks', 'Appointment Setting', 'Project Scheduling', 'Administrative Support', 'Cold Calling']"
430,$200k+,Lead Expert Software Engineer,"2,090",22,$200.00,"['Web Design', 'Web Programming', '.NET Framework', 'ASP.NET', 'C#', 'ASP.NET MVC', 'SQL', 'Microsoft Windows Azure', 'AWS Lambda', 'Internet Information Services (IIS)']"
431,$10k+,Virtual Executive Assistant,756,3,$30.00,"['Microsoft Office', 'Project Management', 'Virtual Assistant']"
432,,"Expert in English grammar, writing, proofing, and editing",,,,"['English', 'English Grammar', 'English Punctuation', 'Editing', 'Writing', 'Business Writing', 'Creative Writing', 'Academic Writing', 'Ghostwriting']"
433,$100k+,"Writing/Editing/Proofreading for Business, Travel, Technical","3,360",367,$45.00,"['Editing', 'English Proofreading', 'Business Writing', 'Creative Writing', 'Content Writing', 'English Punctuation', 'Travel Writing', 'Translation French English', 'Lean Consulting', 'Proofreading']"
434,$10k+,Commercial photographer,338,10,$125.00,"['Photography', 'Product Photography', 'Commercial Photography', 'Digital Photography', 'Event Photography', 'Fashion Photography', 'Portrait Photography', 'Wedding Photography']"
435,$200k+,Google AdWords Expert - 19 Years - Google Premier Partner,"4,411",125,$55.00,"['Google AdWords', 'Bing Ads', 'Search Engine Marketing (SEM)', 'Google Analytics', 'Social Media Marketing', 'Facebook Marketing', 'Amazon Web Services', 'Analytics', 'Pay Per Click', 'Google Shopping']"
436,$30k+,Experienced Copywriter & Proofreader,349,130,$50.00,"['Creative Writing', 'Copywriting', 'Commercials', 'English Proofreading', 'Print Advertising', 'Corporate Brand Identity', 'Humor Writing', 'Content Writing', 'Copyediting', 'Indexing']"
437,$10k+,Google Analytics and Google Tag Manager Expert Guru,312,55,$65.00,"['Google Analytics', 'Analytics', 'Web Analytics', 'Website Analytics', 'SQL', 'Transact-SQL']"
438,$20k+,Expert Copy Editor & Proofreader,584,97,$28.00,"['English', 'Chicago Manual of Style', 'AP Style Writing', 'Academic Writing', 'English Proofreading', 'Editing', 'English Grammar', 'Copyediting', 'English Punctuation', 'Humor Writing']"
439,$40k+,"Business & Technology Writer, Content Strategist, Production Manager","1,228",49,$100.00,"['Business Writing', 'Academic Writing', 'Creative Writing', 'Editing', 'English Grammar', 'Social Media Management', 'Search Engine Optimization (SEO)', 'Technical Writing', 'Content Strategy']"
440,$40k+,"Graphic Designer, Photographer & Marketing Consultant",885,68,$55.00,"['Graphic Design', 'Photography', 'Marketing Strategy', 'Book Cover Design']"
441,$40k+,"Bookkeeper, QuickBooks Online Advanced Certified ProAdvisor","2,007",44,$40.00,"['Intuit QuickBooks', 'Bookkeeping', 'Accounting', 'Bank Reconciliation']"
442,$100k+,Web Developer and Consultant,"2,257",26,$121.00,"['WordPress', 'PHP', 'Laravel Framework', 'Joomla', 'Python SciPy', 'R', 'Machine Learning', 'Microsoft Windows Azure', 'Project Management', 'Search Engine Optimization (SEO)']"
443,$4k+,Experienced Virtual Assistant & Customer Service Consultant,412,3,$12.50,"['Customer Service', 'Data Entry', 'Email Etiquette', 'Real Estate Law', 'Real Estate Management', 'Phone Support', 'Administrative Support', 'Virtual Assistant', 'Telephone Handling', 'Retail Ops Management']"
444,$3k+,Exceptional worker,263,3,$13.00,"['Google Docs', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Facebook Marketing', 'Amazon Web Services', 'Customer Service', 'Customer Support', 'Sales']"
445,$20k+,Senior PHP developer. Wordpress theme/plugin dev. Laravel/Ang JS/ionic,888,28,$38.00,"['Magento', 'Internet Marketing', 'WordPress', 'Wordpress Plugin', 'Laravel Framework', 'AngularJS', 'Ionic Framework', 'PhoneGap', 'Shopify', 'WordPress e-Commerce']"
446,$20k+,Certified Quickbooks Pro Advisor/Accounting/Bookkeepin,"2,012",78,$40.00,"['Intuit QuickBooks', 'Accounting', 'Bookkeeping', 'Accounts Payable Management', 'Accounts Receivable Management', 'Bank Reconciliation', 'Xero', 'Bill.com Accounts Receivable', 'Data Entry']"
447,$40k+,Expert writer and Eng/Spa translator with SMM experience,"1,117",95,$20.19,"['Spanish', 'Copywriting', 'Copyediting', 'Proofreading', 'Blog Writing', 'Customer Service', 'Journalism Writing', 'Newsletter Writing']"
448,$100k+,Expert WordPress Developer,"1,356",87,$97.00,"['WordPress', 'HTML5', 'HTML', 'CSS3', 'CSS', 'PHP', 'JavaScript', 'MySQL Administration', 'Content Writing']"
449,$10k+,Project Manager SEO/SMM/Writer/Editor,690,14,$33.33,"['Social Media Marketing', 'Facebook Marketing', 'Voice Over', 'Project Management', 'Copyediting', 'Copywriting', 'Virtual Assistant', 'Social Media Management', 'Video Post Editing']"
