,earned,headline,hours,jobs,rate,skills
132,$400k+,"Experienced Controller, CFO, CPA, MBA","5,824",434,$50.00,"['Accounting', 'Microsoft Access Administration', 'Microsoft Excel', 'Database Modeling', 'Financial Modeling', 'Microsoft PowerPoint', 'Tax Preparation', 'Tax Law', 'Auditing', 'Bookkeeping']"
133,NA,"Music Technology Specialist: I make apps, patches, sites, controllers",NA,NA,NA,"['JavaScript', 'iOS Development', 'iPhone App Development', 'Audio Design', 'Node.js', 'Music', 'MIDI', 'Arduino', 'Max']"
134,$600k+,AWS Certified Solutions Architect - Cloud,"8,345",30,$140.00,"['Amazon Web Services', 'Microsoft Windows Azure', 'Google Cloud Platform', 'DevOps', 'Terraform', 'Docker', 'Ansible', 'HIPAA', 'PCI Compliance', 'Kubernetes']"
135,$10k+,Instructional Designer,338,16,$45.00,"['Content Writing', 'Copywriting', 'Creative Writing', 'e-Learning', 'Instructional Design', 'Game Design', 'Articulate Storyline', 'Technical Writing', 'Screenwriting', 'Articulate']"
136,$100k+,Top Rated | Virtual CFO | Accounting & Bookkeeping | Quickbooks,"2,447",40,$95.00,"['Intuit QuickBooks', 'Accounting', 'Xero', 'Business Planning', 'Operations Management', 'Business Management', 'Bookkeeping', 'Financial Modeling', 'Financial Forecasting']"
137,$200k+,PR and Marketing Consultant,"2,984",90,$33.33,[]
138,$60k+,Business IT Support - Help Desk Services - IT Managed Services,"3,290",18,$27.00,"['Helpdesk', 'Network Administration', 'Network Security', 'Customer Service', 'Technical Support', 'Microsoft Windows Server', 'Cloud Computing', 'Antispam and Antivirus', 'VOIP Administration', 'Microsoft Office 365']"
139,$20k+,"Senior Web Developer, PHP | Javascript | Cryptocurrency Guru",266,19,$50.00,"['PHP', 'JavaScript', 'React.js', 'AngularJS', 'Node.js', 'HTML5', 'MVC Framework', 'Blockchain Development', 'Database Programming', 'Vue.js']"
140,NA,High-End Presentation/Pitch Deck Specialist - with M.B.A.,NA,NA,NA,"['Presentation Design', 'Presentations', 'Microsoft PowerPoint', 'Keynote', 'Adobe Photoshop', 'Startup Consulting', 'Business Modeling', 'Financial Analysis', 'Business Planning', 'Business Development']"
141,$200k+,"Administrative Assistant, Office Support","9,157",3,$27.78,['Internet Research']
142,$30k+,QA Guy,"1,643",8,$31.25,"['Microsoft Visual Studio', 'Digital Electronics', 'Atlassian JIRA']"
143,$10k+,"Illustrator, Graphic Designer",231,39,$35.00,"['Illustration', 'Logo Design']"
144,$80k+,Professional Designer // Powerpoint & Keynote Creator,"1,526",108,$70.00,"['Microsoft PowerPoint', 'Microsoft Excel', 'Keynote', 'Customer Service', 'Adobe Photoshop', 'Adobe Illustrator', 'Logo Design', 'Graphic Design', 'Presentations']"
145,$10k+,Professional bilingual voice talent and translator,242,57,$125.00,"['Voice Talent', 'Voice Over', 'Translation English Spanish', 'English', 'Online Writing', 'General Office Skills', 'Phone Support']"
146,$100k+,"Search Engine Optimization , Website Design & Development Professional","4,167",73,$33.33,"['SEO Audit', 'Yoast SEO', 'Search Engine Optimization (SEO)', 'WordPress', 'Shopify', 'Marketing Strategy', 'Market Research', 'Social Media Marketing', 'Google AdWords', 'HubSpot']"
147,$20k+,Versatile Technology Professional,583,97,$56.25,"['Microsoft Excel', 'Microsoft Word', 'Adobe Acrobat', 'Google Apps', 'Scripts & Utilities', 'Adobe PDF', 'Data Analytics', 'Geographic Information System (GIS)', 'ArcGIS']"
148,$7k+,Art Director and Graphic Designer,296,34,$45.00,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign', 'Logo Design', 'Typography', 'Adobe Premiere Pro', 'Adobe After Effects', 'Business Card Design', 'Marketing Communications', 'Advertising']"
149,$50k+,"Expert Amazon, Ebay, & Ecommerce Management",510,57,$80.00,"['eBay Listing/Writing', 'Adobe Photoshop', 'WordPress', 'Web Design', 'Audio Production', 'Music']"
150,$20k+,"telemarketing , Lead Gen,telesales,appt setting","1,421",30,$25.00,"['Account Management', 'CRM', 'Direct Marketing', 'Freelance Marketing', 'Internet Marketing', 'Sales', 'Social Network Administration', 'Telemarketing', 'Lead Generation', 'Appointment Setting']"
151,$10k+,"Sales, Operations and E Commerce Purchasing Consultant",234,7,$62.50,"['Ecommerce Platform Development', 'Sales Management', 'Business Analysis', 'LinkedIn Recruiting', 'Account Management', 'Merchandising', 'Drop Shipping', 'Sourcing', 'Sales Operations', 'Business Development']"
152,$30k+,UCLA MBA - English-Japanese Translation & Marketing Specialist,752,42,$38.50,"['Translation', 'Japanese', 'English', 'Translation English Japanese', 'Proofreading', 'Localization', 'Marketing Strategy', 'Market Research', 'Internet Marketing', 'Business Development']"
153,$10k+,Experienced Editor and Proofreader,280,55,$35.00,"['Editing', 'Microsoft Word', 'English Proofreading', 'Business Development', 'Writing', 'Proofreading', 'English Grammar', 'English Spelling', 'English Punctuation', 'English']"
154,$7k+,Xero Bookkeeper,313,13,$49.00,"['Bookkeeping', 'Xero', 'Microsoft Excel', 'Mathematics', 'Microsoft Word', 'Google Docs', 'Virtual Assistant']"
155,$10k+,UI/UX Designer | Graphic Designer | Web Designer | Frontend,714,40,$28.00,"['Mobile UI Design', 'User Interface Design', 'Web Design', 'Graphic Design', 'Logo Design', 'Adobe Photoshop', 'Adobe Illustrator', 'Sketch', 'HTML', 'CSS']"
156,$20k+,"ReactJS, Node.js, VueJS Expert",534,3,$50.00,"['JavaScript', 'React.js', 'Node.js', 'Express Js', 'WordPress', 'Redux Saga', 'Redux Thunk', 'Mobx', 'Flux', 'React Native']"
157,$60k+,"Amazon Expert | PPC, Listing Optimization, Seller & Vendor Central",585,70,$70.00,"['Amazon PPC', 'Amazon Webstore', 'Amazon Marketing Service', 'Amazon Listing Optimization', 'Amazon Vendor Central Specialist', 'Amazon Web Services', 'Pay Per Click Advertising', 'Sales Copywriting', 'Product Descriptions', 'Brand Marketing']"
158,$20k+,Excel Consultant/VBA Programmer,335,77,$60.00,"['Excel VBA', 'Microsoft Access Programming', 'SQL', 'Microsoft Excel']"
159,$100k+,"Search/Recruitment, Executive Assessment, Human Capital Consulting","2,092",43,$100.00,"['Organizational Development', 'Leadership Development', 'Counseling Psychology', 'Performance Appraisal', 'Performance Management', 'Employee Engagement', 'Management Consulting', 'Learning Management System (LMS)']"
160,$9k+,NA,NA,NA,$15.00,[]
161,$50k+,UI/UX Designer,"2,277",27,$27.00,"['User Interface Design', 'iPhone UI Design', 'iPad UI Design', 'Web Design', 'CSS3', 'Adobe Illustrator', 'Adobe Photoshop', 'GUI Design', 'Interaction Design']"
162,$100k+,"Executive Assistant, Sales/Marketing, Business Development","3,663",14,$38.00,[]
163,$10k+,Sr Front End Developer with expertise in ReactJS,261,8,$62.50,"['PSD to HTML', 'HTML5', 'CSS3', 'React.js', 'Ionic Framework', 'JavaScript', 'AngularJS', 'Translation English Dutch', 'Redux for JavaScript']"
164,$200k+,Internet Marketing & E-Commerce Expert - Top Rated,"2,981",74,$100.00,"['Internet Marketing', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Search Engine Marketing (SEM)', 'Marketing Strategy', 'Conversion Rate Optimization', 'Project Management', 'Management Skills', 'Content Management', 'Pay Per Click Advertising']"
165,$40k+,"Skilled copy editor, writer, proofreader","1,387",58,$56.25,"['Copyediting', 'Creative Writing', 'Travel Writing', 'News Writing Style', 'Newsletter Writing', 'Proofreading', 'Internet Research', 'Ghostwriting', 'Copywriting']"
166,$30k+,Freelance Paralegal and Legal Support,"1,517",33,$25.00,"['Intuit QuickBooks', 'Paralegal Services', 'Legal Writing', 'Themis Solutions Clio', 'Microsoft Office', 'Invoicing', 'Management Skills', 'Virtual Assistant', 'Executive Assistant', 'Legal Assistance']"
167,$1k+,Administrative Assistant,313,2,$13.33,['Microsoft Word']
168,$8k+,"Recognized Growth Hacker, Data Analyst, and Project Manager",409,56,$40.00,"['Virtual Assistant', 'WordPress', 'Project Management', 'Search Engine Optimization (SEO)', 'Data Analytics', 'Internet Marketing', 'Digital Marketing', 'Marketing Automation', 'Marketing Management', 'Shopify']"
169,$800+,"photographer,photo editor,graphic/creative designer,data entry operato",402,7,$3.33,"['Microsoft Word', 'Photo Editing', 'Adobe Photoshop', 'Photograph Color Correction', 'Photography', 'Photo Manipulation']"
170,$10k+,Webflow specialist | Web design | Web development,298,7,$55.00,"['Webflow', 'Responsive Web Design', 'User Experience Design', 'Usability Testing', 'Invision', 'CMS Development', 'Ecommerce Platform Development', 'Blog Development']"
171,NA,Product Engineering Services,NA,NA,NA,"['Mechanical Engineering', 'Mechatronics', '3D Modeling', 'Product Design', 'Mathematics', 'Technical Writing']"
172,$50k+,"Expert Editor (LaTeX, Word) in Math and Other Technical Areas",459,68,$25.00,"['Technical Editing', 'Technical Writing', 'Mathematics', 'Editing', 'LaTeX', 'English Proofreading', 'Microsoft Word', 'Teaching Mathematics', 'English Tutoring', 'English Grammar']"
173,$70k+,Experienced UX/UI designer,"1,924",14,$55.00,"['Adobe Photoshop', 'Adobe Illustrator', 'User Interface Design', 'User Experience Design', 'Web Design', 'Interaction Design', 'Sketch App', 'HTML', 'CSS']"
174,$100k+,"Graphic Designer, Infographic Specialist","2,543",422,$37.50,"['Infographics', 'Graphic Design', 'Brochure Design', 'Flyer Design', 'Print Design', 'Poster Design', 'Adobe Illustrator', 'Adobe InDesign', 'Adobe Photoshop', 'Translation English Russian']"
175,$90k+,NA,"1,777",6,$55.00,"['Drupal', 'Information Architecture', 'Editing', 'WordPress', 'HTML5', 'CSS', 'HTML', 'PHP']"
176,$80k+,Professional Editor and Proofreader,782,293,$30.00,"['Editing', 'English', 'English Proofreading', 'English Grammar', 'English Punctuation', 'English Spelling']"
177,$30k+,Coldfusion,674,8,$55.00,"['Android', 'HTML5', 'JSON', 'jQuery', 'ColdFusion', 'PhoneGap']"
178,$10k+,"Joomla Expert, Core Upgrade & Migration, Web Design, Logos, Quickbooks",570,20,$29.99,"['Joomla', 'Joomla Migration', 'Web Design', 'Web Hosting', 'Website Analytics', 'Website Development', 'Search Engine Optimization (SEO)', 'Intuit QuickBooks', 'Social Media Marketing', 'Adobe Photoshop']"
179,$60k+,"Editor, writing instructor, award-winning author.",646,143,$50.00,[]
180,NA,Voice Talent,NA,NA,NA,"['Voice Talent', 'Creative Writing', 'GarageBand', 'Audacity', 'Microsoft Word', 'Microsoft Excel']"
181,$40k+,Access Database Developer,"1,745",64,$30.00,"['Microsoft Access Administration', 'SQL', 'VBA', 'Database Programming', 'Database Design', 'Relational Databases', 'Database Modeling']"
182,NA,Market Strategy | Branding | Email Marketing | Automation | PPC,NA,NA,NA,"['Marketing Strategy', 'Content Strategy', 'Google AdWords', 'Startup Consulting', 'Social Media Optimization (SMO)', 'WordPress', 'Copywriting', 'Zapier', 'Google Analytics', 'Landing Pages']"
183,$6k+,Technical and customer support / Community and social management,881,9,$13.00,"['HTML', 'Windows Administration', 'Technical Support', 'Online Community Management', 'WordPress', 'Virtual Private Server (VPS)']"
184,$100k+,Graphic Design/Websites/Photography,"3,010",7,$22.22,"['Adobe Photoshop', 'Adobe Illustrator']"
185,$30k+,Qt and Embedded Systems Software Expert,509,5,$95.00,"['Qt', 'C++', 'C', 'Embedded C', 'Microcontroller Programming']"
186,$3k+,"Layout & DTP Creator (Adobe, Indesign & Publisher), Data Entry",346,11,$10.00,"['Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Print Layout Design', 'Adobe PDF', 'Microsoft Publisher', 'Microsoft Office']"
187,NA,"Amazing 4K 60fps Software Demos, iOS/Android Promo Vids, Engineer/MBA",NA,NA,NA,"['Video Editing', 'Videography', 'Content Marketing', 'Startup Consulting', 'Audio Editing', 'Project Management', 'Project Planning', 'Adobe Premiere Pro', 'Adobe Audition', 'Camtasia']"
188,$10k+,Software Quality Assurance Engineer/Analyst (Manual and Automated),523,10,$52.00,"['Manual Test Execution', 'Automated Testing', 'Software QA Testing', 'QA Engineering', 'Performance Testing', 'Black Box Testing', 'Selenium WebDriver', 'Java', 'Cucumber', 'C#']"
189,$40k+,Teacher/Writer/Editor/Project Manager/Client Services Specialist/HR,"1,968",36,$50.00,"['Human Resource Management', 'Customer Service', 'Internet Research', 'Writing', 'Instructional Design', 'Project Management', 'Employee Training', 'e-Learning']"
190,$100k+,Venture Capital and Private Equity Specialist,"4,531",58,$70.00,"['Business Modeling', 'Business Planning', 'Microsoft Word', 'Microsoft Excel', 'Microsoft PowerPoint', 'Translation Spanish English', 'Translation English Spanish', 'Translation English Italian', 'Medical Translation', 'Business Consulting']"
191,$20k+,Graphic Designer / Digital Artist,572,31,$60.00,"['Photo Editing', 'Banner Ad Design', 'Photo Retouching', 'Texture Artist', 'Print Layout Design', 'Digital Art', 'Corporate Brand Identity', 'Business Card Design', 'Brochure Design', 'Poster Design']"
192,$10k+,PPC Specialist,411,7,$51.21,"['Google AdWords', 'Bing Ads', 'Google Analytics', 'Social Media Marketing', 'Search Engine Marketing (SEM)', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Adobe Illustrator', 'Audio Postediting', 'Copyediting']"
193,$10k+,"Writer, Journalist, and Storyteller",414,67,$30.00,"['Writing', 'Editing', 'Copywriting', 'Journalism Writing', 'Article Writing', 'Blog Writing', 'Marketing Communications', 'Public Relations']"
194,$7k+,Freelance Writer,241,34,$35.00,"['Creative Writing', 'English Grammar', 'Editing', 'Screenwriting', 'Blog Writing', 'Word Processing', 'WordPress', 'Article Writing', 'Sales', 'Presentations']"
195,$20k+,Embedded SW and HW Engineer,335,7,$105.00,"['Embedded Systems', 'Circuit Design', 'PCB Design', 'Digital Signal Processing', 'Python', 'C', 'C++', 'Hardware Prototyping', 'Bluetooth', 'Internet of Things']"
196,$10k+,Virtual Assistant with Administrative & Transactional Legal Experience,340,7,$43.75,"['Virtual Assistant', 'Microsoft Office', 'Google Docs', 'Calendar Management', 'Email Handling', 'Travel Planning', 'Typing', 'Invoicing', 'Social Media Management']"
197,$10k+,Professional Proposal and Technical Writer,691,4,$55.00,"['Project Management', 'Proposal Writing', 'Sales Writing', 'Technical Writing', 'Copyediting', 'Communications', 'Proofreading']"
198,$10k+,"Certified Quickbooks ProAdvisor, 15+ Years Professional Experience",373,47,$45.00,"['Bookkeeping', 'Accounting', 'Intuit QuickBooks', 'Financial Accounting', 'Payroll Processing', 'Accounts Payable Management', 'Bank Reconciliation', 'Management Consulting', 'Project Management', 'Microsoft Excel']"
199,$80k+,Conversion Copywriter And SEO Organic Traffic Consultant,476,81,$125.00,"['Copywriting', 'Sales Letters', 'Sales Writing', 'Email Marketing', 'Marketing Strategy', 'Search Engine Optimization (SEO)', 'Business Coaching', 'Brand Marketing', 'Conversion Rate Optimization']"
200,$10k+,Preschool & Elementary Instructional Designer Curriculum Specialist,508,4,$60.00,"['Curriculum Development', 'Content Creation', 'Education Technology', 'e-Learning', 'Instructional Design']"
201,$20k+,WordPress Development & Design - Boost Conversions & Engagement,309,21,$80.00,"['Graphic Design', 'Adobe Photoshop', 'Adobe Illustrator', 'Web Design', 'HTML5', 'CSS', 'JavaScript', 'jQuery', 'HTML']"
202,$50k+,Architect | Graphic Designer,"1,412",17,$45.00,"['Rhinoceros 3D', 'Autodesk Revit Architecture', 'SketchUp', 'Adobe Illustrator', 'Adobe Photoshop', 'AutoCAD', 'Logo Design', 'Graphic Design', 'Information Design', 'Construction']"
203,$100k+,"Algorithm Scientist - Machine Learning, Computer Vision, Deep Learning","2,009",29,$98.00,"['Algorithm Development', 'Genetic Algorithms', 'Data Science', 'Machine Learning', 'Artificial Neural Networks', 'Computer Vision', 'Python SciPy', 'TensorFlow', 'Deep Learning', 'Data Analytics']"
204,$80k+,"Looking for a job in customer service, assistant, or voice over work","7,992",4,$10.50,"['Customer Service', 'Customer Support', 'Computer Skills', 'Phone Support', 'Email Handling', 'Email Technical Support', 'Microsoft Excel', 'Microsoft Word', 'Online Help', 'Email Etiquette']"
205,$60k+,Data Analyst and Visualization Consultant,919,21,$75.00,"['FileMaker', 'R', 'Tableau Software', 'Microsoft Excel', 'SQL', 'Microsoft Power BI']"
206,$10k+,Data Scientist,205,18,$100.00,"['R', 'Excel VBA', 'Microsoft Excel', 'Python', 'Data Science']"
207,$70k+,"Former Googler, Senior Digital Marketing Pro",862,9,$99.00,"['Social Media Marketing', 'Social Media Management', 'Content Marketing', 'Content Strategy', 'Search Engine Optimization (SEO)', 'SEO Keyword Research', 'Digital Marketing', 'Marketing Strategy', 'Online Community Management', 'Email Marketing']"
208,$50k+,"Exemplary Researcher, Contact-Sourcer and Email Marketer.","3,258",51,$29.00,"['Email Marketing', 'Database Management', 'Internet Research', 'Google Spreadsheets', 'Virtual Assistant', 'Negotiation', 'Data Entry', 'Research', 'Market Research', 'Social Media Marketing']"
209,$10k+,Virtual Assistant,708,4,$20.00,"['Content Writing', 'Google AdSense', 'Blog Writing', 'Data Entry', 'Microsoft Office', 'Project Scheduling', 'General Office Skills']"
210,$20k+,"food writer, photographer, and recipe developer",363,101,$40.00,"['Online Writing', 'WordPress', 'Creative Writing', 'English', 'English Grammar', 'English Punctuation']"
211,$100k+,false,"10,945",9,$16.67,"['MySQL Programming', 'PhpBB']"
212,$20k+,Expert Copy Editor & Proofreader,584,97,$28.00,"['English', 'Chicago Manual of Style', 'AP Style Writing', 'Academic Writing', 'English Proofreading', 'Editing', 'English Grammar', 'Copyediting', 'English Punctuation', 'Humor Writing']"
213,$10k+,Engineering design and Analysis,385,6,$60.00,"['Manufacturing Design', 'Structural Analysis', 'SolidWorks', 'MathCad', 'PLC Programming', 'Mechanical Engineering']"
214,$10k+,"Business Card, Flyer, Vector, Logo",221,233,$22.00,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe InDesign']"
215,$500k+,Turning Plans into Profits,"3,599",96,$130.00,"['Startup Consulting', 'Business Planning', 'Financial Forecasting', 'Marketing Strategy', 'Brand Consulting', 'Business Coaching', 'Corporate Strategy', 'Business Modeling', 'Business Writing', 'Management Consulting']"
216,$40k+,Graphic Designer,"1,531",12,$50.00,"['2D Animation', 'Ableton Live', 'Adobe After Effects', 'Adobe Creative Suite', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom', 'Adobe Premiere Pro', 'Adobe Soundbooth', 'Audacity']"
217,$10k+,Commercial photographer,338,10,$125.00,"['Photography', 'Product Photography', 'Commercial Photography', 'Digital Photography', 'Event Photography', 'Fashion Photography', 'Portrait Photography', 'Wedding Photography']"
218,$30k+,NA,297,47,$75.00,"['Copywriting', 'Creative Writing', 'Advertising', 'Brand Consulting']"
219,$10k+,"Wordpress, Divi and WooCommerce Specialist",661,4,$50.00,"['Adobe Illustrator', 'Adobe InDesign', 'Graphic Design', 'Brand Marketing', 'Logo Design', 'WordPress', 'WordPress e-Commerce', 'Woocommerce', 'Adobe Photoshop', 'Print Layout Design']"
220,$30k+,Certified Salesforce Consultant/Admin | Marketing Expert | Data Junky,395,28,$110.00,"['Marketing Automation', 'Microsoft Excel', 'Microsoft Word', 'HubSpot', 'Salesforce.com', 'Marketing Cloud Administration', 'Data Mining', 'Lead Generation', 'Internet Research']"
221,$60k+,Professional Writer & Editor,"2,131",88,$24.00,"['Creative Writing', 'English Punctuation', 'English', 'Online Writing', 'Microsoft Word', 'Technical Writing', 'Google AdSense']"
222,NA,Creative Marketing Consultant/Public Relations/Copywriter,NA,NA,NA,"['Blog Writing', 'Creative Writing', 'Brand Marketing', 'Public Relations', 'Marketing Strategy', 'Screenwriting', 'Video Production', 'Content Development']"
223,$9k+,Virtual BookKeeper/ QuickBooks ProAdvisor,322,20,$35.00,"['Bookkeeping', 'Accounts Payable Management', 'Accounts Receivable Management', 'Creative Writing', 'Business Writing', 'AP Style Writing', 'Intuit QuickBooks', 'Payroll Processing', 'Transcription', 'Email Handling']"
224,$40k+,Administrative Support Specialist,"2,425",288,$18.00,"['Adobe PDF', 'Microsoft Word', 'Word Processing', 'Microsoft Excel', 'PDF Conversion', 'Microsoft PowerPoint', 'Internet Research', 'Virtual Assistant', 'SurveyMonkey', 'MailChimp']"
225,$10k+,"Professional, Creative Presentations, Spreadsheets, Research",710,27,$21.50,"['Research Papers', 'Internet Research', 'Microsoft PowerPoint', 'Microsoft Excel', 'Business Writing', 'Article Writing', 'Brochure Design']"
226,NA,PPC Enthusiast | Management & Consulting,NA,NA,NA,"['Google AdWords', 'Pay Per Click Advertising', 'Search Engine Marketing (SEM)', 'Google Analytics', 'Bing Ads', 'Yahoo! Search Marketing', 'Google Search API', 'Facebook Marketing', 'Email Marketing', 'Google AdSense']"
227,$300k+,Full stack Developer / Project Manager / Laravel Expert,"6,230",36,$49.00,"['HTML', 'JavaScript', 'MySQL Administration', 'PHP', 'Project Management', 'User Interface Design', 'WordPress', 'AngularJS', 'Ionic Framework', 'Elasticsearch']"
228,$90k+,Social Media Marketing Consultant,"3,802",42,$50.00,"['Social Media Marketing', 'Customer Service', 'Virtual Assistant', 'Data Entry', 'Transcription', 'Editing']"
229,$80k+,Full Stack Developer,"2,914",13,$37.50,"['Java', 'Groovy', 'Grails', 'HTML', 'CSS', 'SQL', 'JavaScript', 'REST']"
230,$9k+,Human Resources and Recuiting,289,4,$28.00,"['Human Resource Management', 'Recruiting', 'Content Writing', 'Resume Writing', 'Payroll Processing', 'Project Management']"
231,$9k+,"Cloud/DevOps Engineer, Python/Django Developer",227,1,$60.00,"['Docker', 'Python', 'Django', 'Amazon Web Services', 'HTML5', 'CSS3', 'Bootstrap', 'Linux System Administration', 'Ansible', 'Automation']"
232,$8k+,admin support,750,3,$10.50,['Administrative Support']
233,$4k+,Multifaceted Recruiter,233,8,$25.00,"['Resume Writing', 'LinkedIn Recruiting', 'Customer Service', 'Sourcing', 'Research', 'Travel Planning', 'Event Planning', 'Interviewing']"
234,$7k+,Skilled English Editor // Proofreader // Copywriter,363,35,$40.00,"['Copyediting', 'Proofreading', 'English Proofreading', 'English Punctuation', 'English Spelling', 'English Grammar', 'Teaching English', 'Resume Writing', 'Cover Letter Writing', 'Typing']"
235,$10k+,DevOps Software Developer,387,2,$40.00,"['Python', 'Python Numpy', 'Django', 'Oracle Database', 'Oracle SOA Suite', 'Oracle WebLogic', 'Pandas', 'MySQL Programming', 'Docker', 'Jenkins']"
236,$40k+,Software Quality Assurance Analyst,"2,333",5,$25.00,"['Manual Test Execution', 'Database Testing', '""Extract, Transform and Load (ETL)""', 'Web Testing', 'Reviews', 'Technical Documentation', 'Software Documentation', 'Software Debugging', 'Root Cause Analysis']"
237,$20k+,Virtual Assistant,"1,434",26,$13.50,"['Microsoft Office', 'Internet Research', 'Applicant Tracking Systems', 'Microsoft Word', 'Microsoft Excel', 'Data Entry']"
238,$20k+,Lead QA,"1,614",1,$21.00,"['Web Testing', 'System Testing', 'Functional Testing', 'Regression Testing', 'Usability Testing', 'Performance Testing', 'Test Case Design', 'Test Management', 'Manual Test Execution', 'Project Delivery']"
239,$6k+,"Administrative, Data Entry, & Spreadsheet Professional",376,5,$25.00,"['Accounting', 'Administrative Support', 'Bookkeeping', 'Communications', 'Customer Service', 'Data Entry', 'Microsoft Excel', 'Process Improvement', 'Virtual Assistant']"
240,$20k+,"(CPA, CFO, Quickbooks Pro, Xero, Financial Statements, Tax)","1,235",39,$55.00,"['Intuit QuickBooks', 'Xero', 'Bookkeeping', 'Accounting', 'Financial Analysis', 'Financial Reporting', 'Bank Reconciliation', 'Tax Preparation']"
241,$20k+,Experienced Graphic Designer,626,35,$37.50,"['Logo Design', 'Brochure Design', 'Business Card Design', 'Banner Ad Design', 'T-Shirt Design']"
242,$20k+,Sr. PCB Layout Engineer,584,1,$85.00,"['PCB Design', 'Altium Designer', 'Field-Programmable Gate Array (FPGA)', 'Digital Electronics', 'Electronic Design', 'Circuit Design', 'Digital Signal Processing', 'Robotics', 'Mechatronics', 'GTK+']"
243,$30k+,"Sales, marketing and strategy pro with corporate & startup experience",374,14,$129.00,"['Product Marketing', 'Product Management', 'Marketing Strategy', 'Corporate Strategy', 'Business Coaching', 'Business Management', 'Business Modeling', 'Business Planning', 'Corporate Communications', 'Corporate Brand Identity']"
244,$40k+,SharePoint Admin/Developer/Architect,748,17,$65.00,"['Microsoft SharePoint Development', 'Microsoft SharePoint Designer', 'Microsoft SharePoint Administration', 'Microsoft Windows Powershell', 'Internet Information Services (IIS)', 'C#', '.NET Framework', 'Microsoft SQL Server Administration', 'SQL', 'Microsoft SQL Server Programming']"
245,$80k+,Web and Desktop Application Developer,"2,504",1,$30.00,"['C++', 'Python', 'PHP', 'Java', 'MySQL Programming', 'JavaScript', 'HTML5', 'R', 'Linux System Administration']"
246,NA,Instructional Design Consultant,NA,NA,NA,"['e-Learning', 'Instructional Design', 'SCORM', 'Moodle', 'Articulate Storyline', 'Web Design', 'Curriculum Development', 'HTML5', 'PHP', 'CSS3']"
247,$3k+,Skilled Video Editor,351,34,$14.00,"['Video Editing', 'Adobe Premiere Pro', 'YouTube Marketing', 'English', 'Video Upload', 'Voice Over', 'Motion Graphics']"
248,$10k+,Payroll and Bookkeeping Professional,"1,080",3,$22.00,"['Payroll Processing', 'Administrative Support', 'Accounts Payable Management', 'HR Benefits', 'Intuit QuickBooks', 'Earth Class Mail', 'Basecamp', 'ADP Workforce Now', 'Bookkeeping']"
249,$10k+,Writer,315,37,$30.00,"['Writing', 'SEO Writing', 'Research Papers', 'Creative Writing', 'News Writing Style', 'Press Release Writing', 'Facebook Marketing', 'Twitter Marketing']"
250,$50k+,Affordable Bookkeeping & Payroll-Quickbooks Expert,"1,829",64,$37.50,"['Accounting', 'Payroll Processing', 'Bookkeeping', 'Intuit QuickBooks', 'Accounts Payable Management', 'Accounts Receivable Management', 'Job Costing', 'Tax Preparation', 'Human Resource Management', 'Microsoft Word']"
251,$20k+,"Digital Artist, Animator, Game Developer",736,34,$27.00,"['Adobe Photoshop', 'Unity', 'Adobe Illustrator', 'Game Design', 'Game Development', '2D Animation', '3D Animation', 'Level Design', 'Logo Design', 'Digital Painting']"
252,$20k+,VBA developer,521,58,$70.00,"['Excel VBA', 'VBA', 'Automation', 'Microsoft Access Programming', 'R', 'Data Analytics', 'Data Science', 'Microsoft Excel', 'Microsoft Office', 'Data Migration']"
253,$10k+,Virtual Assistant,709,3,$28.00,"['Microsoft Word', 'Microsoft Office', 'Microsoft PowerPoint', 'Adobe Photoshop', 'Adobe InDesign', 'Adobe Audition', 'Project Management', 'Travel Planning', 'Blog Writing']"
254,$30k+,Fillable PDF Forms Designer Expert,976,368,$24.00,"['Adobe Acrobat', 'Adobe LiveCycle Designer', 'Adobe InDesign', 'Computer Skills', 'Time Management', 'Microsoft Word', 'Microsoft Office']"
255,NA,Skin Care/Dermatology/Product Expert,NA,NA,NA,"['Content Writing', 'Medical Writing', 'Brand Consulting', 'Medical Illustration', 'Creative Writing', 'Startup Consulting', 'Editorial Writing', 'Product Descriptions', 'Search Engine Optimization (SEO)', 'Website Development']"
256,NA,Top Rated Project Manager and Virtual Assistant,NA,NA,NA,"['Advertising', 'Brand Consulting', 'MailChimp', 'Public Relations', 'Social Media Marketing', 'Administrative Support', 'Content Moderation', 'Customer Service', 'Event Planning', 'Microsoft Office']"
257,$10k+,Art Director & Graphic Designer,255,9,$90.00,"['Graphic Design', 'Adobe InDesign', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe Acrobat', 'Photo Retouching', 'Photo Manipulation', 'Logo Design', 'Copywriting', 'Copyediting']"
258,$50k+,Expert Customer Service & Project Manager,"2,531",9,$20.00,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Outlook', 'Sales', 'Customer Service', 'Virtual Assistant']"
